Update: 262, Reward_mean: 0.493260707955, Loss: [0.072865627706050873]
Update: 263, Reward_mean: 0.52269405714, Loss: [0.096676483750343323]
Update: 264, Reward_mean: 0.711437370403, Loss: [-0.015324346721172333]
Update: 265, Reward_mean: 0.235716445018, Loss: [-0.0083935931324958801]
Update: 266, Reward_mean: 0.328101270249, Loss: [0.08571237325668335]
Update: 267, Reward_mean: 0.553487853484, Loss: [-0.0070290975272655487]
Update: 268, Reward_mean: 0.795212469184, Loss: [0.025581361725926399]
Update: 269, Reward_mean: 0.798643094186, Loss: [0.033364664763212204]
Update: 270, Reward_mean: 1.04054313482, Loss: [0.061421774327754974]
Update: 271, Reward_mean: 0.852676756696, Loss: [0.012210171669721603]
Update: 272, Reward_mean: 0.689807728983, Loss: [0.070311978459358215]
Update: 273, Reward_mean: 0.391025049944, Loss: [0.051708254963159561]
Update: 274, Reward_mean: 0.600293068898, Loss: [0.039381366223096848]
Update: 275, Reward_mean: 0.419517331185, Loss: [0.11593873798847198]
Update: 276, Reward_mean: 0.274564326797, Loss: [-0.031708031892776489]
Update: 277, Reward_mean: 0.455873842467, Loss: [0.16801784932613373]
Update: 278, Reward_mean: 1.09925673752, Loss: [0.046678967773914337]
Update: 279, Reward_mean: 1.09362093101, Loss: [0.047662552446126938]
Update: 280, Reward_mean: 1.06903107828, Loss: [-0.014242034405469894]
Update: 281, Reward_mean: 0.889801243808, Loss: [0.15337958931922913]
Update: 282, Reward_mean: 0.710558787411, Loss: [0.036002743989229202]
Update: 283, Reward_mean: 0.710928123133, Loss: [0.073737733066082001]
Update: 284, Reward_mean: 0.482757395833, Loss: [0.03263518214225769]
Update: 285, Reward_mean: 0.255437028794, Loss: [0.078981116414070129]
Update: 286, Reward_mean: 0.289110255257, Loss: [0.041216772049665451]
Update: 287, Reward_mean: 0.245398950528, Loss: [-0.032236039638519287]
Update: 288, Reward_mean: 0.896280463776, Loss: [0.092592537403106689]
Update: 289, Reward_mean: 0.839530714259, Loss: [0.18185316026210785]
Update: 290, Reward_mean: 1.1542262186, Loss: [0.029572552070021629]
Update: 291, Reward_mean: 1.28203500119, Loss: [0.1248917281627655]
Update: 292, Reward_mean: 1.31421231417, Loss: [0.1590723842382431]
Update: 293, Reward_mean: 0.0555110165315, Loss: [0.1270907074213028]
Update: 294, Reward_mean: -0.955189387871, Loss: [0.11511947959661484]
Update: 295, Reward_mean: 0.119020315596, Loss: [0.12059526145458221]
Update: 296, Reward_mean: 0.206083847719, Loss: [0.071529299020767212]
Update: 297, Reward_mean: 0.46880163447, Loss: [0.11067008972167969]
Update: 298, Reward_mean: 1.00222600956, Loss: [0.047988951206207275]
Update: 299, Reward_mean: 0.762278616439, Loss: [0.064997546374797821]
Update: 300, Reward_mean: 0.788565855513, Loss: [-0.031481575220823288]
Update: 301, Reward_mean: 0.62589005752, Loss: [0.011006900109350681]
Update: 302, Reward_mean: 0.56894706493, Loss: [0.051394850015640259]
Update: 303, Reward_mean: 0.439258938941, Loss: [0.012300688773393631]
Update: 304, Reward_mean: 0.267174899207, Loss: [0.040155194699764252]
Update: 305, Reward_mean: 0.668549997066, Loss: [0.083063751459121704]
Update: 306, Reward_mean: 0.552625355176, Loss: [0.029800929129123688]
Update: 307, Reward_mean: 0.377461642196, Loss: [0.039627090096473694]
Update: 308, Reward_mean: 0.961805203983, Loss: [0.024673592299222946]
Update: 309, Reward_mean: 0.614588042526, Loss: [0.052116051316261292]
Update: 310, Reward_mean: 0.93410505386, Loss: [0.07864774763584137]
Update: 311, Reward_mean: 1.28530399799, Loss: [0.037132907658815384]
Update: 312, Reward_mean: 1.15835546534, Loss: [0.041520107537508011]
Update: 313, Reward_mean: 0.81114197658, Loss: [0.0073885247111320496]
Update: 314, Reward_mean: 0.80740275178, Loss: [0.070150263607501984]
Update: 315, Reward_mean: 0.764682049658, Loss: [0.025193888694047928]
